,Title,Summary,Link,Time,Source,Address,State,Zip
93,Florida man caught on camera standing in sunroof while driving on Interstate 4,"POLK COUNTY, Fla. - A Florida man was caught on camera standing in his sunroof while he was driving on Interstate 4 on Tuesday afternoon.

Leonard Olsen was charged with reckless driving.

The Florida Highway Patrol said a trooper pulled Olsen over around U.S. 98 and Wedgewood Estates Boulevard in Polk County.

Investigators said the trooper told Olsen they received reports of him sitting on his sunroof while driving on Interstate 4.

Troopers said Olsen told the investigator he wanted to turn himself in.

""My wife treats me like a servant and she's the mistress and I'm tired of this ****,"" Olsen told the investigator, according to report from FHP.

""Lock me up, I rather go to jail then go back home,"" he told the trooper.

Investigators showed Olsen the video of him standing in the sunroof while driving.

Troopers said an investigator asked if that was him in the video.

""Yes,sir,"" Olsen told the investigator.

Investigators said Olsen told the trooper the car was in cruise control.

""The car drives itself and has a gigantic computer in it,"" Olsen told the investigator.

Olsen explained to the trooper why was standing in the sunroof while driving.

""I thought it would be a nice way to praise God for a minute,"" he told the trooper.

Olsen's Cadillac was towed.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-caught-on-camera-standing-in-sunroof-while-driving,2019-05-10T22:29:40Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
95,WATCH: Florida man arrested for hanging out sunroof while driving on I-4,"LAKELAND, Fla. (WFLA) - A Florida man is facing a reckless driving charge after an off-duty deputy caught him hanging out of his sunroof while driving on I-4.

The incident happened Tuesday afternoon in Polk County and was caught on camera by an off-duty Hillsborough County deputy. The video shows the man, identified as 70-year-old Leonard Olsen Jr., standing up and hanging out of the sunroof of his car with his arms spread out as he's driving.

The deputy provided FHP with a license plate number, which led troopers to Olsen. When a trooper pulled him over and asked about him sitting on his sunroof, Olsen said, ""I don't know about that,"" according to an arrest report.

The arrest report states Olsen told the trooper he wanted to turn himself in because, ""my wife treats me like a servant and she's the mistress and I'm tired of this s***...lock me up, I'd rather go to jail than go back home.""

The deputy who witnessed the incident told troopers he saw Olsen bouncing back in forth in the center lane, then saw the man open the sunroof and get on top of the car. The deputy said he drove up next to the car and noticed no one else was in the car with Olsen. During his interview, the deputy told troopers Olsen sped up to over 100 mph at times then slowed to about 40 mph.

After he was arrested, troopers say Olsen admitted he sat on the sunroof but said the car was on cruise control. According to the arrest report, Olsen said, ""the car drives itself and has a gigantic computer in it.""

Troopers say Olsen added that he ""thought it would be a nice way to praise God for a minute, and I thought it would be nice at the time and that's what I did.""

Olsen was charged with reckless driving and his car was towed.",http://www.wfla.com/news/polk-county/watch-florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4/1995230576,2019-05-10T21:33:24Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
96,Florida man arrested for hanging out sunroof while driving on I-4,,http://www.wfla.com/video/florida-man-arrested-for-hanging-out-sunroof-while-driving-on-i-4_20190510212307/1995205987,2019-05-10T21:23:25Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
97,Take a dip! Massive man-made lagoon opens in North Miami,"<p>South Florida does everything big, so this is not your normal swimmin' hole.</p>

<p>A massive seven-acre, man-made lagoon has opened on the grounds of Sole Mia, a new ""mini-city"" being built in North Miami.</p>

<p>The swimmable lagoon contains fresh water and includes its own private island. Waters look as blue as the Caribbean, but here in South Florida.</p>

<p>Crystal Lagoons is famous for their man-made bodies of water all over the world. The North Miami lagoon is the company's ninth and largest project in the U.S. </p>

<p>Along with residences, Sole Mia is eventually expected to include schools, hotels and office space.</p>",https://www.local10.com/news/florida/north-miami/take-a-dip-massive-man-made-lagoon-opens-in-north-miami,2019-05-10T16:42:34Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
101,Police: Blood in man's apartment linked to missing girl,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. (Photos: Houston Police)

HOUSTON (AP) — Houston police say they found “blood evidence” in the apartment of Darion Vence that matches that of the missing 4-year-old girl, Maleah Davis.

In a statement on the arrest of Vence, Houston police say that he has been charged with tampering with evidence.

They also say that Vence was observed carrying a full laundry basket from the apartment.

The laundry basket was found in the trunk of Vence’s silver Nisson Altima, which was recovered in Missouri City, Texas, Thursday.

Vence reported last Saturday that Maleah had been abducted from him.

RELATED: Missing girl's mother says her ex-fiance may have harmed her

WFLA NOW: Car connected to missing Texas 4-year-old found

The man who reported a 4-year-old Texas girl had been abducted from him last weekend has been arrested near Houston.

U.S. Marshals’ southern district spokesman Alfredo Perez says that Darion Vence was taken into custody Saturday at his brother’s house in Sugar Land, Texas, about 22 miles (35 kilometers) southwest of Houston.

Perez says the Houston Police Department requested U.S. Marshals assist in serving the arrest warrant. It was not immediately known if the arrest was related to the disappearance of Maleah Davis. Houston police could not be reached for comment.

Vence told police last Saturday that men in a pickup truck abducted him, Maleah and his 2-year-old son before freeing him and the boy. But Sugar Land police, who initially interviewed him, said his story kept changing and didn’t add up.",https://www.wfla.com/national/stepfather-of-missing-girl-arrested-charged-with-evidence-tampering/1996794483,2019-05-12T00:17:11Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
102,"Rubio, jellyfish, pythons and Trump among our top online hits last week","TOP 5 STORIES

1. Rubio: More than 200 days after Hurricane Michael, residents in the Panhandle have had enough

2. Man o’ Wars washing up on Panama City Beach

3. Florida python hunter stumbles upon creepy scene right out of horror film

4. Live from President Trump campaign rally

5. Florida man arrested over vulgar sticker on truck

TOP 5 PODCASTS

1. Jury to decide life or death in murder trial

2. Thompson gets life for murder of Allen Johnson

3. Derrick Thompson found guilty of 1st degree murder

4. Opening statements made, witness testimony begins in murder trial

5. Creative Passion: Author Will Glover’s Inspirations

TOP 5 VIDEOS

1. Hurricane Michael 2018: Riding the storm out inside The News Herald

2. Defendant held in contempt

3. Kelley Girl Charters hooks great white shark in Panama City Beach

4. Donald Trump speaks at rally in Panama City Beach

5. Line forms for Trump rally in Panama City Beach",https://www.newsherald.com/opinion/20190511/rubio-jellyfish-pythons-and-trump-among-our-top-online-hits-last-week?rssfeed=true,2019-05-11T19:16:09Z,Panama City News Herald,"501 W 11th St, Panama City, FL 32401, USA",FL,32401
103,Pedestrian in critical condition after hit-and-run crash in Miami,"MIAMI - An elderly pedestrian was seriously hurt Saturday after a hit-and-run crash in Miami's Allapattah neighborhood, authorities said.

Officer Kiara Delva, a spokeswoman for the Miami Police Department, said a man who had just gotten off a bus was struck by a white Nissan as he walked across Northwest 22nd Avenue near Northwest 21st Street around 9 a.m. The driver of the Nissan did not stop to help the victim, Delva said.

Paramedics transported the victim, who was not identified, to a local hospital, where he was listed in critical condition. Witnesses said the victim looked to be in his 70s.

Miami police officers were later seen investigating near a white Nissan with extensive front-end damage at Northwest 22nd Avenue and Northwest 26th Street. Delva said a possible suspect was detained.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/local/miami/pedestrian-in-critical-condition-after-hit-and-run-crash-in-miami,2019-05-11T18:51:03Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
104,"Not-so-fantastic 4 of Florida men wore makeup, wigs for jewelry store robberies","MIAMI — Four felons from Broward County have been convicted in federal court of jewelry store robberies from South Florida to Georgia that sound like scenes out of a Tyler Perry movie.

Christopher Brinson, Adrian Hardy, Emmory Moore and Jerome Simmons chose attire for each robbery’s gunmen that was less “Going in Style” than “Madea Goes to Jail.” They didn’t wear dresses, but did don wigs, slapped on makeup and wore women’s clothes, such as pink jumpsuits.

Alas, the four veterans of the Florida Department of Corrections proved no more skilled than they were stylish.

When they left one robbery, Moore left behind his cellphone, which was not only connected to a phone number on his account, but had the jewelry store’s name and number listed among the contacts. Brinson’s phone contained a photo of three of them next to a silver minivan rented and used in one of the robberies — a silver minivan with a SunPass that made the vehicle easily trackable.

While skedaddling from the last heist, they dropped a bag with over $1 million of jewelry.

The Justice Department used the Project Safe Neighborhoods initiative, which led to an armed robber getting 92 years and a man getting 32 years for over 20 armed robberies, to make federal cases out of the interstate run of robberies.

According to the criminal complaints, on March 3, 2017, Brinson walked into Class Jewelers located at 3756 W. Hillsboro Blvd. in Deerfield Beach and asked about selling a ring. Not long after Brinson’s visit, at around 2 p.m., surveillance cameras spotted two men dressed as women with long, dark wigs come in and rob the store at gunpoint. Employees didn’t identify the robbers dressed as women, but did easily identify advance scout Brinson.

The same thing happened March 16, 2017, at Lilli’s Jewelry Store in Spring Hill, an area north of Tampa. But as the two men-dressed-as-women left with $10,000 of jewelry and hopped in a silver minivan, Moore left behind his cell phone.

That whoopsy allowed cops to see text messages to and from Moore discussing “licks,” current slang for money quickly acquired by robbery; an internet history that included searches for Lilli’s and “jewelry store robbery in Hillsboro” (criminals tend to like to see what the media has to say about their crimes).

On April 1, two men and a woman, “all three … wearing long, dark-colored wigs, long-sleeved dark-colored shirts and long, dark-colored pants” and “light makeup” hit Bishops Jewelers in Valdosta, Georgia. Before the robbery, a man called the store to ask if the male employee was there yet. He was told the male employee would be there in an hour. A similar call preceded the robbery at Lilli’s.

Moore was arrested on April 6, 2017, for being a felon in possession of a firearm while, an arrest report says, he drove around in an unregistered car with illegally dark tints on the windows while smoking marijuana.

Hardy, Simmons and Brinson showed up at LSO Jewelry and Repair in Port St. Lucie at 9:05 a.m. April 13, 2017, “wearing heavy facial makeup and women’s clothing.”

Hardy: “dark-colored pants, a dark, long-sleeved top with a bright multi-colored shirt underneath, sunglasses, and long, dark-haired wig.

Simmons: “a women’s pink jumpsuit with a dark-colored wig.”

Brinson: “green pants, a light blue, long-sleeved top and a dark-colored wig.”

Perhaps the most eye-catching part of their ensembles, at least to the LSO employees: “Each also wore black gloves and brandished a firearm.”

When an LSO employee identified as “L.O.” asked Simmons if she could help him, Simmons said in a masculine voice, “I’m looking for an engagement ring.”

Hardy and Brinson locked the front door, then Hardy and Simmons marched L.O. and co-worker “N.N.” to the backroom at gunpoint. While they lay on their stomachs with faces down, the three criminals took what they wanted from the safe and display cases. An outside man told them through a walkie-talkie they were “good on time.”

Simmons relieved L.O. of a silver diamond and ruby Rolex. Then, suddenly, the inside trio wasn’t good on time. An off-duty cop saw the three enter the store and seemingly lock the door behind them. That was enough to prompt a 911 call.

A front door departure was aborted upon sight of approaching police, so the threesome ran out the back, “dropping a large bag containing nearly a million dollars’ worth of jewelry. The only item of jewelry removed from the store was the Rolex watch.”

Simmons was arrested after crawling out of some bushes, wearing only “boxers, socks, makeup on his face, and carrying a walkie-talkie in his hand.”

Hardy ran toward Martin Health System Diagnostic Services emergency room and hopped into a nearby box truck. The truck’s owner approached Hardy to find out why a badly made up guy was treating his truck like a cab.

“The owner of the truck told law enforcement that Hardy immediately exited the truck and left behind a wig, gloves, and sunglasses,” the complaint said.

Police hadn’t found Hardy when a call came in around 12:06 p.m. from a man worried that his pal, J.K., hadn’t been home at the pickup time for their golf game. And, the friend said, J.K. didn’t miss pickup time for a golf game.

Law enforcement found nobody inside at J.K.’s home. A trip through the house found drops of blood on the floor, an unopened gallon of milk on the counter, cell phones and two women’s purses.

Cops were still there when J.K. returned with another chapter to the story.

J.K., from Toronto, Canada, said Hardy, still on the run from police, had two guns and forced J.K., J.K.’s wife, their son and their son’s girlfriend to drive him to Broward County. Hardy had them exit at Sunrise Boulevard and drop him off at Tony’s Market, 800 NW 22nd Rd.

Brinson eventually was arrested April 20 on a charge of being a felon in possession of a firearm. Hardy was taken into custody May 8, 2017 after a traffic stop in Orlando.

Each of the four went down on charges of Hobbs Act robbery (affecting interstate or foreign business), conspiracy to commit a Hobbs Act robbery and brandishing a firearm in furtherance of a violent crime. Hardy got an extra four counts of kidnapping.

They’re scheduled to be sentenced June 7.",https://www.news-journalonline.com/news/20190511/not-so-fantastic-4-of-florida-men-wore-makeup-wigs-for-jewelry-store-robberies?rssfeed=true,2019-05-11T16:10:28Z,Daytona Beach News,"901 6th St, Daytona Beach, FL 32117, USA",FL,32117
105,Missouri man charged with mutilating cats he bought on Craigslist,"Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed. Charles the cat traveled 1,300 miles from his home in New Mexico to Chicago, where he was picked up as a stray. He waits at Chicago Animal and Control in Chicago IL, Friday, April 16, 2010. (AP Photo/David Banks)

Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed. Charles the cat traveled 1,300 miles from his home in New Mexico to Chicago, where he was picked up as a stray. He waits at Chicago Animal and Control in Chicago IL, Friday, April 16, 2010. (AP Photo/David Banks)

ST. CHARLES, Mo. (WFLA) – A 20-year-old man in St. Charles County, Missouri is facing animal abuse charges, after prosecutors say he admitted to police he bought cats on Craigslist to torture and kill them.

Warning: Graphic Details

According to FOX 2 Now, the St. Charles County Prosecuting Attorney's Office charged Kaine Louzader, 20, with two counts of animal abuse.

The prosecutor's office says more than a dozen cats may have been killed, some kittens were even mutilated between January 1 and May 9.

Court documents said Louzader told police he would strangle or stomp on the heads of the cats in the bathtub or backyard patio. The suspect said after killing the cats he dismembered them by removing the heads or cutting off the limbs.",https://www.wfla.com/national/missouri-man-charged-with-mutilating-cats-he-bought-on-craigslist/1996290736,2019-05-11T14:11:50Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
106,"Police release security images, sketch of person after two girls groped near Orlando schools","Related Headlines Sketch released of suspected school groper

- Law enforcement officials have released security photos and a composite sketch of the man who reportedly touched two students at two Orlando schools.

The incidents were reported on Monday morning. Parents told The News Station both Boone High School and Blankner Elementary went on brief lockdowns.

According to Orlando Police, around 6:30 in the morning, a Boone High School student was on Ferncreek Avenue walking to school when a man touched her inappropriately.

About two and a half hours later, Orange County Sheriffs Deputies said a student was walking to Blankner Elementary next door, when a man came up behind her and also touched her inappropriately.

During both incidents, the victims said the man was on a bicycle.

The schools sent a message to parents, Monday, advising students to walk in groups.

“I’m picking them up, and right now she had an activity she wanted to go by herself walking around the neighborhood, and that’s a no-no for now,” said one parent.

Detectives plan to release a suspect sketch tomorrow. The suspect was described as a black male, 19-20 years of age, 5'6""-5'7"", short curly hair, clean-shaven, medium build, red t-shirt, Khaki long pants, and dark tennis shoes.

",http://www.fox35orlando.com/home/police-release-security-images-sketch-of-person-after-two-girls-groped-near-orlando-schools,2019-05-11T13:16:19Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
107,"1 dead, 1 hurt in Miami Gardens shooting","MIAMI GARDENS, Fla. - One man was killed and another was wounded early Saturday in Miami Gardens, authorities said.

Carlos Austin, a spokesman for the Miami Gardens Police Department, said the shooting happened just after midnight in the 3500 block of Northwest 213th Terrace.

The first victim was pronounced dead at the scene. Paramedics transported the second victim to a local hospital, where he is listed in critical condition.

Police did not provide a description of the gunman or say what led to the shooting.

Anyone with information about the shooting is asked to contact Miami-Dade County Crime Stoppers at 305-471-TIPS.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-dade/1-dead-1-hurt-in-miami-gardens-shooting,2019-05-11T13:03:46Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
108,Man found shot dead behind home in Tampa,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.

TAMPA, Fla. (WFLA) - The Hillsborough County Sheriff's Office is on scene of a homicide investigation Friday night.

The homicide occurred in the 6000 block of 43rd Street in Tampa.

A man was found shot dead in a backyard of a home.

Shortly after the scene was secured, Tampa police received a 911 call from a person who said he was involved in the shooting.

TPD responded and made contact with the suspect. That man is cooperating with detectives.

Preliminary information indicates the victim and the man knew each other and an argument ensued that led to shots being fired.

Officials are working to get a search warrant for the home.

Anyone with information is encouraged to call the sheriff's office at 247-8200.",https://www.wfla.com/news/hillsborough-county/man-found-shot-dead-behind-home-in-tampa/1995651481,2019-05-11T02:24:54Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
109,elderly man carjacked in Beall's parking lot in Hudson,"Previous

Car left running in garage may be...",https://www.wfla.com/video/elderly-man-carjacked-in-beall-s-parking-lot-in-hudson_20190511021223/1995773811,2019-05-11T02:12:48Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
111,Panama City man charged with soliciting minor for sex,"DeFUNIAK SPRINGS — A 26-year-old man was arrested Friday after he allegedly solicited who he thought was a 14-year-old girl for sex.

Between Jan. 16 and May 10, Christopher D’Angelo Jackson Jr. engaged with an undercover officer through a social media account depicting the girl, according to a news release from the Walton County Sheriff's Office.

During the exchange, Jackson became increasingly sexual in nature and asked for nude pictures. Jackson also indicated that he wanted to have sex with the girl, the news release said.

Undercover investigators met Jackson in DeFuniak Springs after he drove from Panama City to meet the girl. He was arrested and booked into the Walton County Jail.

Jackson was charged with two counts of using a computer to solicit a child for sex, traveling to meet a minor for sex and using a two-way communication device to facilitate a felony. All four charges are felonies.",https://www.nwfdailynews.com/news/20190510/panama-city-man-charged-with-soliciting-minor-for-sex?rssfeed=true,2019-05-10T20:56:24Z,Northwest Florida Daily News,"2 Eglin Pkwy NE, Fort Walton Beach, FL 32548, USA",FL,32548
112,Man arrested Friday in connection of a murder that happened 3 years ago,"ALACHUA COUNTY, Fla. - After three years of investigation, forensic testing, witness and suspect interviews, the Alachua County Sheriff's office have announced an arrest in connection with the homicide of Isadore Lee that happened on January 11, 2016.

Deputies said Lee was 26-years-old when he was shot and killed.

Dedrick Deron Baldwin, 43, was taken into custody Friday morning. Investigators have not said what led them to arrest Baldwin as a suspect in connection with his homicide.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/alachua-county/man-arrested-friday-in-connection-of-a-murder-that-happened-3-years-ago,2019-05-10T17:17:16Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
113,Lauderhill man accused of recording up women's skirts at Sawgrass Mills,"Derryck McKnight, 21, is accused of recording up women's skirts at the Sawgrass Mills mall in Sunrise.

SUNRISE, Fla. - A Lauderhill man admitted he ""did something stupid"" after taking pictures and videos up women's skirts at the Sawgrass Mills mall, police said.

Derryck McKnight, 21, was arrested Thursday by Sunrise police on a charge of video voyeurism.

According to a police report, a Marshalls loss prevention officer saw McKnight ""walking the store using a cell phone to purposely take pictures and/or video under women's skirts.""

When confronted, McKnight admitted to recording ""several different women while at the mall,"" police said.

McKnight gave police permission to unlock his cellphone, revealing several different views and locations in the mall underneath women's skirts, police said.

According to the report, McKnight said he ""did something stupid"" and confessed to making smaller video clips that he sells for $25 or more on Tumblr.

McKnight was being held in the main Broward County jail in lieu of $15,000 bond.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/broward/lauderhill-man-accused-of-recording-up-womens-skirts-at-sawgrass-mills,2019-05-10T16:33:40Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
115,Man o' Wars washing up on St. Augustine Beach,"ST. AUGUSTINE BEACH, Fla. - Some people heading to St. Augustine Beach have seen some Man o' Wars on the sand. Members of the St. Augustine Lifesaving Association said they have a couple Man o' Wars but nothing too much out of the ordinary.

They said they get pushed onto shore by winds and tides every so often.

The Portuguese man o' war is a predatory species. It uses its feeding tentacles to sting and paralyze small fishes, pelagic crustaceans, and other invertebrates. The feeding tentacles may be up to 160 feet long in some individuals! These tentacles deliver a powerful sting and are also used for defense against predation.

Each individual Portuguese man o' war is either a male or a female, and they reproduce sexually via a method known as broadcast spawning. Large groups of individuals come together, where females release their eggs and males release their sperm into the water column, all at the same time. This method increases the likelihood that eggs will be fertilized.

The Portuguese man o' war is not valuable, commercially, and is common throughout the tropics. In some places, it is increasing in numbers, likely a result of changing open ocean food webs. This species’ sting can be very painful if encountered by people. When there are large numbers of individuals in an area, it is best to avoid swimming.

They are covered in venom-filled nematocysts used to paralyze and kill fish and other small creatures. For humans, a man-of-war sting is excruciatingly painful but rarely deadly.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/local/st-augustine/man-o-wars-washing-up-on-st-augustine-beach,2019-05-10T16:16:26Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
116,Man tells police attempting to pawn his 7-month-old was a joke,"Man tells police attempting to pawn his 7-month-old was a joke

Advertisement Man tells police attempting to pawn his 7-month-old was a joke Share Shares Copy Link Copy

A Florida father learned some jokes just aren't funny, especially ones that involve selling children.Get the full story in the video above.",https://www.wpbf.com/article/man-tells-police-attempting-to-pawn-his-7-month-old-was-a-joke/27431972,2019-05-10T14:31:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA",FL,33410
118,Florida man accused of torturing little girl kills himself,"A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Advertisement

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.

Investigators say the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.

AlertMe",https://www.wesh.com/article/florida-man-accused-of-torturing-little-girl-kills-himself/27431147,2019-05-10T13:19:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
120,Florida man gets life for fatally stabbing girlfriend,"- A Florida man has been sentenced to life in prison for fatally stabbing his girlfriend, who was in bed with her young child at the time of the attack.

Court records show that 51-year-old Freddie Harris was sentenced Thursday. He was convicted of second-degree murder, child abuse and aggravated assault on a law enforcement officer.

Authorities say Harris stabbed 39-year-old Chantill Harrison 22 times as she lay in bed at a Fort Myers home in November 2017.

A teenager at the home called 911, and Harris armed himself with a rifle to wait for police. Harris eventually surrendered after a 45-minute standoff.",http://www.fox35orlando.com/home/florida-man-gets-life-for-fatally-stabbing-girlfriend-1,2019-05-10T11:27:22Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
121,Deputies: Florida man accused of torturing little girl kills himself,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. Andrew Bennett Ross Celauis. (Photo: Escambia County Sheriff's Office)

PENSACOLA, Fla. (AP) - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman says 37-year-old Andrew Bennett Ross Celauis died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators say Celauis filmed himself torturing the child. They say he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask.",http://www.wfla.com/news/florida/deputies-florida-man-accused-of-torturing-little-girl-kills-himself/1994223215,2019-05-10T11:27:06Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
122,No charges for Florida man with obscene sticker on car,"LAKE CITY, Fla. - Charges have been dropped against a Florida man who refused to remove what a deputy considered an obscene sticker from his vehicle's window.

The State Attorney's Office in Columbia County filed court documents Thursday saying it won't prosecute Dillon Shane Webb, 23, who had been charged with obscenity and resisting an officer without violence. The filing said a valid defense could be raised under the First Amendment, which protects free speech.

An arrest report said a deputy stopped Webb in Lake City on Sunday because of a sexually explicit sticker. The deputy cited Webb for obscenity with a notice to appear in court.

Officials said the deputy told Webb to alter the sticker to change the derogatory part, but Webb refused. The deputy then charged Webb with resisting.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/no-charges-for-florida-man-with-obscene-sticker-on-car,2019-05-10T10:58:53Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
123,"Florida man accused of torturing girl kills himself, deputies say","PENSACOLA, Fla. - A Florida man accused of torturing his girlfriend's 2-year-old daughter by burning her, shooting her with a BB gun and wearing a werewolf mask to scare her has killed himself.

An Escambia County Sheriff's Office spokeswoman said Andrew Bennett Ross Celauis, 37, died at a hospital Tuesday.

Celauis was arrested April 9. He tried to kill himself May 1 in his jail cell and was hospitalized. He died six days later.

Investigators said Celauis filmed himself torturing the child. They said he placed a dog collar on the girl and shocked her awake at night. Then he stood over her wearing a werewolf mask, officials said.

Investigators said the mother didn't know about the abuse. It was discovered when she brought the girl to the hospital for treatment of ringworm, which turned out to be burns.



Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/florida-man-accused-of-torturing-girl-kills-himself-deputies-say,2019-05-10T10:43:25Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
